Product Link,Image URL,Category,Gender,Brand,Description,Ratings,Ratings Count,Price
https://www.myntra.com/shirts/united+colors+of+benetton/united-colors-of-benetton-men-solid-slim-fit-opaque-formal-shirt/29973679/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29973679/2024/6/15/aa8a6bbd-2c39-4339-aa36-507fdd4b14ef1718460319637UnitedColorsofBenettonMenSlimFitOpaqueFormalShirt1.jpg",shirts,M,United Colors of Benetton,Men Solid Opaque Formal Shirt,4.6,68,1499
https://www.myntra.com/shirts/ad+by+arvind/ad-by-arvind-vertical-stripe-formal-shirt/22286840/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22286840/2023/3/10/4f9b22e9-0f25-40a8-bdca-4c7f31cec7671678455834812ADbyArvindVerticalStripeFormalShirt1.jpg",shirts,M,AD By Arvind,Striped Formal Shirt,4.3,443,1151
https://www.myntra.com/shirts/the+bear+house/the-bear-house-men-grey-slim-fit-tartan-checks-checked-casual-shirt/17626900/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17626900/2022/4/4/85b09a02-bb0d-4e7a-9a41-754486955c4e1649071925066-THE-BEAR-HOUSE-Men-Shirts-6781649071924558-1.jpg",shirts,M,THE BEAR HOUSE,Slim Fit Casual Shirt,4.2,2400,748
https://www.myntra.com/shirts/the+indian+garage+co/the-indian-garage-co-men-white--teal-blue-slim-fit-striped-casual-shirt/10673544/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10673544/2019/9/24/6b9c7688-7ca2-4d11-9e5b-a3745ecd8f761569310358973-The-Indian-Garage-Co-Men-Shirts-8481569310357131-1.jpg",shirts,M,The Indian Garage Co,Men Slim Fit Casual Shirt,4.1,55200,699
https://www.myntra.com/shirts/snitch/snitch-men-smart-slim-fit-opaque-casual-shirt/30227445/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30227445/2024/7/16/11dd7eb9-02a4-4a8a-811f-e5b0208aa7ae1721126135125SnitchMenSmartSlimFitOpaqueCasualShirt5.jpg",shirts,M,Snitch,Slim Fit Opaque Casual Shirt,4.1,150,839
https://www.myntra.com/shirts/ketch/ketch-men-slim-fit-tartan-checked-casual-shirt/15997672/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15997672/2022/7/13/9f20c808-bdeb-4074-8f2e-e8d63333c9d91657686397284KETCHMenWhiteBeigeSlimFitOpaqueTartanCheckedCasualShirt1.jpg",shirts,M,KETCH,Slim Fit Casual Shirt,3.8,4800,359
https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-light-blue-solid-regular-fit-chambray-casual-shirt/15557590/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15557590/2022/2/18/a88d594a-0184-4042-baad-01c2d7874cec1645166286136-Roadster-Men-Shirts-4091645166285596-1.jpg",shirts,M,Roadster,Chambray Casual Shirt,4.1,5400,629
https://www.myntra.com/shirts/blackberrys/blackberrys-textured-india-slim-fit-pure-cotton-shirt/30499838/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30499838/2024/8/31/7f38f357-32ee-4f40-928d-a83935ce3daa1725087908971-Blackberrys-Men-Shirts-8901725087908519-1.jpg",shirts,M,Blackberrys,India Slim Fit Cotton Shirt,4.3,32,1492
https://www.myntra.com/shirts/highlander/highlander-men-pink--white-slim-fit-checked-casual-shirt/11467514/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11467514/2022/9/26/cec5d2f1-03a7-434d-9cbb-7b0c41a560361664184920735HIGHLANDERMenPinkWhiteSlimFitCheckedCasualShirt1.jpg",shirts,M,HIGHLANDER,Men Slim Fit Casual Shirt,4.2,36400,987
https://www.myntra.com/shirts/campus+sutra/campus-sutra-classic-self-design-spread-collar-casual-shirt/28219632/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28219632/2024/3/12/2f53aaab-40e1-4c5b-8148-6ad150e5f4341710256687634CampusSutraMenClassicOpaqueCheckedCasualShirt2.jpg",shirts,M,Campus Sutra,Spread Collar Casual Shirt,4.4,10900,835
